epoch,loss
1,1658719.2335891724
2,13212.610795974731
3,4581.365489959717
4,2529.341374397278
5,1695.1628861427307
6,1264.6509222984314
7,1001.4479684829712
8,833.4736640453339
9,716.0025012493134
10,633.9744453430176
